,Name,Description,date_guess,type_guess
828,"Fort Atkinson, WI",Mr. Brews Taphouse Oldtime/bluegrass/etc. every Wednesday 3-5pm. Please call ahead to verify. ,Wednesday 3-5pm,weekly gathering
829,"Gays Mills, WI","<img src=""https://doc-0s-a0-mymaps.googleusercontent.com/untrusted/hostedimage/mssabsa7slgdk9jv14qogv6rfg/k2qfibn3f01uh47kcp4ovfsh88/1679292013750/Rwzruwph7FP6RHOal8qpCwcnwKUrNFzH/06273081418702902963/5AI-xGzwtZVBYgzZHhiJXHPv9sKvBjL-1rFC49ck8KICVDCtow11-20eSzBEUwe3z0n8leB4CX7KshB--QbXkeF9RheD7PEq9AE51fkqgJw_XyN7YoiCnnNZh8AgZLxIQiOByrqMHkflJedF5yYgC9GjAOsUAWIaYTE6WI4ubKLD0E579jAlktQAMSltmkLgYABS4Zlhn?session=0&fife"" height=""200"" width=""auto"" /><br><br>FIRST FRIDAY Traditional Music Monthly Jam Session.                                                                        <br>Join us every first Friday of the month,  3 - 6pm at the Mercantile Center Lobby behind the Kickapoo Exchange Food Coop. <br>The acoustics are great, players are well-seasoned, some grinning is likely.......<br>Play along if you know the tune, plenty of chairs and tables for listeners too!<br>Drinks and snacks available at the Kickapoo Exchange.                                                                      Contact Number: (608) 735-4544                             JS 10/20/19",Friday,weekly gathering
830,"Iola, WI","<img src=""https://doc-00-a0-mymaps.googleusercontent.com/untrusted/hostedimage/mssabsa7slgdk9jv14qogv6rfg/8540rjstrmnqhsvc1fnmjp7dks/1679292013750/Rwzruwph7FP6RHOal8qpCwcnwKUrNFzH/06273081418702902963/5AI-xGzyDDnwIs8JOUt4VtRJIibyMIYzpzFjNBs5wGkqIazFeA0yWeusiEs7bFfj3EXPjHmWIOfL78YMrz5sYR_TwSHJiZXXC2Jm3M7_YMVTtZj5UD9jVamXzS9pTYDlj24IK6oloEj_4T92UwoTNNhdSWVZp-omibPXG1hkzWFabMxRVPmhaMnk5boP5VmCzqku--yE?session=0&fife"" height=""200"" width=""auto"" /><br><br>Every Wed. 7:30",Every Wed. 7:30,weekly gathering
833,"La Crosse, WI","Old Time Open Jam  every Thursday night starting at 7:00pm till 9:00pm. Location: People's Co-op, 315 5th Ave S, La Crosse, WI 54601",Thursday,weekly gathering
834,"*Madison, WI   • Madison Private OT/Trad Irish Jam","not ""public"", but welcoming to new folks...every Monday, 7:30-10 PM a group in Madison, Wi. Moldy Jam is not ""public"", but welcoming to new folks...every Monday, 7:30-10 PM a group in Madison, Wi. called Moldy Jam has a session or 2. In the post COVID era, we organize ourselves using an online signup, and keep each session on the small side. We're not strictly OT. ... these sessions take place in a member's home... so you need an ""in""...as in an invite... private message Joe McNally or Marilee Jack Standifer , and we'll try to help. Or, Marilee Jack Standifer 608-446-0346<br><br>Updated CR 8/31/2022",Monday,weekly gathering
835,"*Madison, WI","Post-COVID <br>Old Time Jam - Has resumed by invitation at a private home (Not Currently Meeting at EVP). It meets monthly on the 3rd Sunday of every month. For information contact coodinator Al Wilson, 608-572-0634<br>Major bonus:. Chirps shows up for roughly 50 per cent of the sessions<br>Updated CR 8/31/2022",3rd Sunday,weekly gathering
837,"*Madison, WI","MadCoCo (Madison Contradance Co-Op) plays for the Tuesday night Contra dances. We’re most Tuesdays at The Wil-Mar Center at 504 S. Brearly. The band warms up at 7:00, and the dance goes until 9:30. We are no longer an ""Open"" Band, but we do welcome visiting musicians with an introduction.<br>Contact : Marilee Jack Standifer 608-446-0346<br><br><br>Updated CR 8/31/2022",Tuesday,weekly gathering
838,"Milwaukee, WI",Old Time and Bluegrass Open Jam every Sunday 1-4pm. ,Sunday,weekly gathering
840,"Platteville, WI","Acoustic Open Jam at the Driftless Market 3rd Saturday of the month. 1-3pm. This jam is held in a round robin with great acoustics in the room. It includes Old Time, Folk, Blues and Bluegrass. Bruce Schmidt is the host. Contact the Diftless Market to verify. ",Saturday,weekly gathering
842,"Wauwatosa, WI ","Monthly Upper Midwest Old Time Open Jam at the Little Red Store                                                      Second Sunday of the month, 1-3pm.                      It's finally happening! Come learn and play Upper Midwestern old-time tunes. It's best to learn by ear, but I'll have some sheet music too.  <br>https://www.facebook.com/events/471643223644092/?event_time_id=471643230310758<br><br>We also have a FB group for announcements, lists of repertoire, etc.<br><br>https://www.facebook.com/groups/814658465334948/<br>  Added by J.S. 8/7/19",Sunday,weekly gathering
843,"Buffalo, WY","OT jam at the Occidental Hotel <br>10 N Main St,  Buffalo<br>First Sundays.",First Sundays,weekly gathering
844,"Casper, WY","For a hand-clappin', foot-stompin' good time, join Wyoming Fiddlers' Association District #4 on the second Sunday of each month. Call Billie at 307-462-3113, Ann at 307-266-6347 for location. Potluck lunch begins at 1:00 p.m., business meeting at 1:30 p.m. and jam session at 2:00 p.m. <br> <br>Please join us every Tuesday evening (except for the 2nd Tuesday) at 6:30 p.m. for a jam session at Natrona County School District Central Services at 970 N. Glenn Rd.. We will be playing at other locations (assisted living facilities and nursing homes) on the second Tuesday of each month. Call for location (Billie at 462-3113).<br> <br>Whether you are a picker, a singer, or a toe-tapper and love old-time music, we would love to have you join in the fun. We welcome accoustic instrument players and vocalists, from beginners to experienced, who play and sing traditional oldtime music.<br><br>http://www.casperwyofiddleclub.com/",second Sunday,weekly gathering
845,"Cheyenne, WY",Old Time Jam<br> 1st and 3rd Saturdays of the month; held at the Laramie County Library (Willow Room) from 1 – 5pm. More info: 307-214-5023.,1st and 3rd Saturdays,weekly gathering
847,"Whitehorse, Yukon Ter, Can.","October through March First Sat. of each month, Whitehorse Coffeehouse.<br>Call Bob Kuiper at (403) 633-4501 for further info. <br><br>CR 1/22/2019",October,weekly gathering
848,"Yellowknife, NWT, Can","Friday Fiddle Jams and Mentoring<br><br>During the school year, the Aurora Fiddle Society hosts a bi-weekly Friday Fiddle Jam in Yellowknife. Fiddlers of all ages and skill levels, accompanists, and friends & family are invited to the new Music Space YK location at 5016 - 50th Ave, lower level (Graham Bromley Building across the street from Cabin Radio) to play their favourite fiddle tunes with the rest of the community, as well as learn and pick up some new tunes.<br><br>From 6:30 - 7:00 pm: Mentoring for Beginners. If you are new to fiddling, this is an opportunity to learn a few basic skills to help you get started.<br><br>From 7:00 - 9:00 pm: All players, especially first-timers and beginners, have a chance to warm up and try out the tunes they’re learning. Then, at 7:30pm, intermediate players bring out their favourites and, at 8:00pm, the intermediate/advanced players kick it up even more with tried-and-true tunes.<br><br>http://aurorafiddle.com/programs-menu/jams/<br><br>CR 1/22/2019",Friday,weekly gathering
849,"Victoria, BC","Old Time Jam at the Spiral Cafe on Craigflower Rd. in West Victoria, Victoria, BC every Monday night 7 to 9:30. Spend $5 in the café, jam for free. Very welcoming and inclusive! https://www.facebook.com/SpiralCafe/",Monday,weekly gathering
850,"Victoria, BC","Victoria Fiddle Society Jam<br>http://www.victoriafiddlesociety.com/<br><br>Usually the first Friday of every month starting at 7:00 pm.<br><br>Doors open at about 6:30 pm at Wheeley Hall located in the Esquimalt United Church Building (500 Admirals Road). Enter off Lyall Street.<br><br>$5 Drop In, $25 Individual Membership, $60 Family Membership",Friday,weekly gathering
851,"Calgary, Alberta","<img src=""https://doc-04-a0-mymaps.googleusercontent.com/untrusted/hostedimage/mssabsa7slgdk9jv14qogv6rfg/oalpi2kd8algf3v7eqa3nkeo1c/1679292013750/Rwzruwph7FP6RHOal8qpCwcnwKUrNFzH/06273081418702902963/5AI-xGzznTqhbSiuRGHVuyDuTKnRpW1j5g6RT3n05MQiacxFjNtJrjP-VJmfcupTuahzgebTonekrYOxeclPmMwERS85WcmKsQsH0cK7mCLGZD1wmIX5gGumHg8gDCTV6d0jmLkPh7ALaotoYcaCR-KNUkMdiuCfNL1aCEP28QgGSc4Hd5-Uxmm74bQcv6VaOyEFBNgo?session=0&fife"" height=""200"" width=""auto"" /><br><br>Come on down to Weeds Cafe and join in on an all acoustic Old-Time Music Jam!<br><br>Once a month on the fourth  Sunday of the month, at 12 PM – 3 PM<br>2019 Dates in photo above<br>Weeds Cafe<br>1903 20th Avenue N.W., Calgary, Alberta<br><br>What the heck is ""old-time music"" anyway? Think 1920’s-1930’s hillbilly style fiddle and banjo tunes, ballads, and some blues styles. This is mountain music and sort of like the southern cousin to East Coast style music.<br><br>Don’t play any instruments? Don’t matter, come grab a cup of joe or a cold beverage and sit back and enjoy some tunes from a great bunch of local musicians at an awesome venue! Come check this music out!<br><br>Note: While we all love bluegrass this is not a bluegrass jam!<br>https://www.facebook.com/events/1104530099723230/<br>https://www.facebook.com/warren.grice.965?fref=gc&dti=390588871395459<br><br>Updated CR 1/26/2019",fourth  Sunday,weekly gathering
852,"*Calgary, Alberta, Can","Every Wednesday 6:30 PM<br>	<br>Prairie Mountain Fiddlers Jam Session<br> – Good Companions Hall –<br>2609 19 Ave SW, Calgary<br>	Contact:<br>Gary Giesbrecht<br>	403-948-7216<br><br>https://www.albertafiddlers.com/events/<br><br>CR 5/11/2022",Wednesday,weekly gathering
853,"*Calgary, Alberta, Can",Every Monday 6:30 – 7:30 PM 	Jam for Novice Fiddlers in North Calgary <br>Contact:<br>	Catherine Rose 	403-816-6727<br><br>https://www.albertafiddlers.com/events/<br><br>CR 5/11/2022,Monday,weekly gathering
854,"*Cardston, Alberta, Can",Every Friday 2:30 – 5 PM<br>Jam <br>Cardston Barber Shop <br>8-3rd Ave W Cardston<br>Contact:<br>	Kay Olson 	<br>403-653-3055<br><br>https://www.albertafiddlers.com/events/<br><br>CR 5/12/2022,Friday,weekly gathering
855,"*Carrolls Corner, NS, Canada","3rd Sundays<br>1-4:30. 9 Milford Road, Carrolls Corner. Admission: good will offering. All proceeds go towards the Canadian Grand Masters Fiddling Competition which will be held in Truro, 2023. <br>Bring your fiddle, something for lunch, dance, sit and enjoy.",3rd Sundays,weekly gathering
856,"*Delburne, Alberta, Can","2,4 & 5 Fridays 1-4 PM Sept – June<br>	<br>Music Jam – Delbourne Seniors Drop In Centre<br>2111 20 St, Delburne<br>	Contact:<br>Betty<br>403-749-2035<br><br>https://www.albertafiddlers.com/events/<br><br>CR 5/11/2022","2,4 & 5 Fridays",weekly gathering
857,"*Devon, Alberta, Can",4th Wednesday 7 PM<br>	<br>Devon Music Jam & Dance – Pioneer 73 Club – St Lawrence Ave (Oct – May) – Chalet at Devon’s Campground (June – Sept)<br>Contact:<br>	Christine Bernier 	<br>780-987-2093<br><br>https://www.albertafiddlers.com/events/<br><br>CR 5/11/2022,4th Wednesday,weekly gathering
858,"*Duffield, Alberta, Can",4th Saturday 6:30 PM<br>	<br>Jam at Duffield Hall<br><br>Contact:<br>	Birthe Madsen 	<br>780-892-2425 or 780-722-5083<br><br>https://www.albertafiddlers.com/events/<br><br>CR 5/12/2022,4th Saturday,weekly gathering
859,"*Edmonton, AB","Multiple events and days at this location<br><br>Monday evenings<br>7:00PM to 10:00PM<br> at:<br>Pleasantview Community Hall<br>10860 - 57 Avenue<br>Edmonton, AB T6H 0Y8<br><br> Acoustic instrumental<br> Old Tyme Fiddle Jam<br> Contact Terry Ruddy<br> 780-244-4861<br><br> Fiddle lessons available for members at 7-8 pm with instructor Donna Ingram in the Marshall Centre, next door to Pleasantview Community Hall.<br><br> Fiddle Tune Workshop / Slow Pitch Jam downstairs in Pleasantview Community Hall from 7-9 pm for Fiddlers with instructor Jarred Albright<br><br>ttp://wildrosefiddlers.org/calendar.html<br>____________________________________________<br>Every Wednesday 6:30 PM<br> 	NBC Edmonton Pleasantview Hall 	<br>Contact:<br>Carolyn Hotte 	780-922-4204<br><br>https://www.albertafiddlers.com/events/<br>Updated CR 5/11/2022",Monday,weekly gathering
860,"*Edmonton, Alberta, Can","Every Tuesday<br>	Fiddle Jam – Fiddler’s Roost<br>7308 76 Ave NW, Edmonton 	<br>Contact:<br>Bernie McClellan<br>	780-461-1358<br><br>https://www.albertafiddlers.com/events/<br><br>CR 5/11/2022",Tuesday,weekly gathering
861,"*Edmonton, AB",Every Thursday 6:30 – 10:30 PM<br>	<br>Jam & Dance <br>Kingsway Legion – Edmonton 14339-50 Street NW<br>	<br>Bill O’Brien<br>	780-222-6111<br><br>https://www.albertafiddlers.com/events/<br><br>Updated CR 5/11/2022,Thursday,weekly gathering
862,"*Genesee, Alberta, Can","3rd Friday – 7 PM<br>	<br>Genesee Hall<br>51020 Range Rd 30, Alberta <br>Contact:<br>	Zoltan Liba 	<br>780-848-2479<br><br>https://www.albertafiddlers.com/events/<br><br>CR 5/11/2022",Friday,weekly gathering
863,"*Grand Prairie, Alberta, Can","3rd Friday 7-10:30 PM<br>	<br>Jam at Golden Age Centre <br>10222 101 Ave, Grand Prairie<br>Contact:<br>	Dora or Annette 	<br>780-532-5818<br><br>https://www.albertafiddlers.com/events/<br><br>CR 5/11/2022",3rd Friday,weekly gathering
864,"*Hill Spring, Alberta, Can",Every Saturday 1-2:30 PM<br>	<br>Great Canadian Barn Dance Hill Spring (May – Sept)<br>Contact:<br>	Lloyd Kunkel 	<br>866-626-3407<br><br>https://www.albertafiddlers.com/events/<br><br>CR 5/12/2022,Saturday,weekly gathering
865,"*Lacombe, Alberta, Can","Sunday 1-4 PM Sept 1 – May 31<br>	Kozy Corner Jam<br>5024 53 St, Lacombe, AB<br>Contact:<br>Don Fraser<br>403-782-9887<br><br>https://www.albertafiddlers.com/events/<br><br>CR 5/11/2022",Sunday 1-4 PM Sept 1 – May 31,weekly gathering
866,"*Leduc, Alberta, Can",First Tuesday 7:00 PM 	<br>Jam and Dance<br> Telford House 4907 46 St Leduc<br>Contact:<br>	Ron Johnson 	<br>587-274-2007<br><br>https://www.albertafiddlers.com/events/<br><br>CR 5/11/2022,Tuesday,weekly gathering
867,"*Lindale, Alberta, Can",4th Friday 7:30 PM<br>	<br>Jam Lindale Community Hall (September – April. No December Jam)<br>Contact:<br>	Wes Tweedle 	<br>780-542-3324<br><br>https://www.albertafiddlers.com/events/<br><br>CR 5/12/2022,September – April,weekly gathering
868,"*Magnolia, Alberta, Can",2nd Saturday 7:00 PM<br>	<br>Jam at Magnolia Hall<br>	Contact:<br>Rick Anderson<br>780-727-4249<br><br>https://www.albertafiddlers.com/events/<br><br>CR 5/11/2022,2nd Saturday,weekly gathering
869,"*Mundare, Alberta, Can","2nd Sunday – 1:00 PM February, March, April, September, October, November<br>	<br>Fiddle Music Jam – Mundare Rec Centre<br>5116 50 Ave, Mundare, AB<br>	Contact:<br>Charlie Gargus<br> 780-764-3062<br><br>https://www.albertafiddlers.com/events/<br><br>CR 5/11/2022",2nd Sunday,weekly gathering
870,"*South Cooking Lake, Alberta, Can",1st Friday 5:30 PM<br>	<br>Pizza Jam – South Cooking Lake<br>	Contact:<br>Maryann Borch<br>	780-941-2341<br><br>https://www.albertafiddlers.com/events/<br><br>CR 5/11/2022,Friday,weekly gathering
871,"*Tomahawk, Alberta, Can",3rd Friday 7 PM<br>	<br>Jam at Tomahawk<br>Contact:<br>	Henri Therrien 	<br>780-305-3688<br><br>https://www.albertafiddlers.com/events/<br><br>CR 5/11/2022,3rd Friday,weekly gathering
872,"*Triangle, Alberta, Can",3rd Saturday 7-11 PM<br>	<br>Triangle – 12 km west of High Prairie (Oct – May)<br><br>Contact:<br>	Roger Kemp 	<br>780-523-5367<br><br>https://www.albertafiddlers.com/events/<br><br>CR 5/12/2022,3rd Saturday,weekly gathering
873,"*Wetaskiwin, Alberta, Can","Every Wednesday – 7 – 9:30 PM<br>	Wetaskiwin Jammers Weekly Jam <br>Senior Centre (Sept – May)<br>5216 54 St, Wetaskiwin<br>	Contact<br>Ida Paradis<br>780-862-9847<br><br>https://www.albertafiddlers.com/events/<br><br>CR 5/11/2022",Wednesday – 7 – 9:30 PM,weekly gathering
874,"*Wilton Park, Alberta, Can",4th Saturday 7 PM<br>	<br>Wilton Park Fiddle Jam (Oct – April)<br>Contact:<br>	Ron/Carol Kozial 	<br>780-985-2478<br><br>https://www.albertafiddlers.com/events/<br><br>CR 5/12/2022,4th Saturday,weekly gathering
875,"*Saskatoon, Saskatchewan Canada","The Saskatoon Bluegrass jam now happens Hosted by Michael Taylor is at The Bassment <br>202 4th Ave N, Saskatoon,<br>Sundays from 1:30-3:30. <br><br>The Oldtimey Jam is suspended.<br>Updated CR 1/31/23",1:30-3:30,weekly gathering
880,"Montréal, Quebec","Grumpy's Bar    <br>1242 Rue Bishop, Montréal, <br>Every Thursday night,                                                  9:30pm -2am.                                                          Contact:  Phone: 514-866-9010.                                JS 9/14/19",Thursday,weekly gathering
881,*Wakefield Quebec,"Cafe Earle<br>1 ch. Valley Drive<br>Wakefield, Quebec<br>Last Sunday of the month.<br> 11:30 - 2:30 pm.<br> Pull out your fiddle, banjo or guitar, and join us for an old fashioned music jam. All ages, all abilities invited.                                                             Here is a sample list of tunes played there:           D tunes<br><br>1. Briar Picker Brown<br><br>2. St. Anne’s Reel<br><br>3. Rock the Cradle Lucy<br><br>4. Mississippi Sawyer<br><br>5. Forked Deer<br><br>6. Julianne Johnson<br><br>7. Fly Around my Pretty Little Miss<br><br>8. Fire on the Mountain<br><br>9. Rose in the Mountain<br><br>10. Robinson County<br><br>11. Ducks on the Millpond<br><br>12. Backstep Cindy<br><br>13. Cindy<br><br>G tunes<br><br>1. Big Scioti<br><br>2. Wild Shoat<br><br>3. Shove that Pig’s Foot a Little Farther into the Fire<br><br>4. Redwing<br><br>5. Dance all Night<br><br>6. Going up to Hamburg<br><br>A tunes<br><br>1. Liza Jane<br><br>2. Buffalo Girl<br><br>3. Half Past Four<br><br>4. Goodbye Girls, I’m Going to Boston<br><br>5. June Apple<br><br>6. Chips ‘n Sauce<br><br>7. Texas<br><br>8. Chinkapin Hunting<br><br>9. Squirrel Hunters<br><br>Back to D again:<br><br>1. Valley Forge<br><br>2. Yellow Barber                                                           <br><br><br><br>Updated CR 10/29/2022",Sunday,weekly gathering
882,"*Waterville Quebec, Canada",Second Sundays 2-5pm<br><br>Mandragor<br>260 Rue Principale<br><br>Contact Pascal Gemme<br>https://www.facebook.com/pascoudoodle<br><br>CR 4/10/2022,2-5pm,weekly gathering
883,"Inglewood, ON, Canada",Fiddle Jam <br>1st and 3rd Fridays September to June<br>7-10 pm<br>Claude Presbyterian Church<br>15175 Hurontario<br>Caledon<br><br>CR 10/30/18,1st and 3rd Fridays September to June,weekly gathering
884,"*Ottawa, ON","Old Time Jam upstairs at the historic Carleton Tavern by the Parkdale Market. 223 Armstrong St, Ottawa, ON. Starting at 7:30 PM and usually goes till 11:00. This event happens on the 3rd Wednesday of every month, open to all.<br><br>Updated CR 9/18/2022",3rd Wednesday,weekly gathering
885,"Perth-Andover, NB","TheWednesday Evening Fiddlers meet each Wednesday, 7:00 PM at St. James United Church, 1231 W Riverside Dr, Perth-Andover. Stop in to jam or just listen.<br>Traditional Old-Time Fiddling from the Maritime Provinces<br>https://www.facebook.com/pg/WednesdayEveningFiddlers/about/?ref=page_internal<br><br>CR  5/18/2019",Wednesday,weekly gathering
888,"Berwick, NS","Annapolis Valley Bluegrass & Oldtime Music Association<br>JAM SESSIONS are held on the 3rd Sunday of each month September through to May. The jams are held at the Berwick Lions Hall (located in the Berwick Appledome).<br>250 Veterans Dr, Berwick, NS<br>https://www.bluegrasscanada.org/Resources/clubs/region1/annapolis.php",September through to May,weekly gathering
890,"*Dartmouth, Nova Scotia, CAN","Down Home Fiddlers Society<br><br>Dartmouth, Nova Scotia<br>Meets on Wednesday nights 7-9:45 pm at North Woodside Community Center <br>(230 Pleasant St, Dartmouth) <br>For more information<br>Contact: Paul Aalders<br>Phone: 902-499-9997 <br>Email : paulaaalders@hotmail.com<br><br>https://maritimefiddler.ca/fiddle-groups<br><br>CR 5/31/2022",Wednesday,weekly gathering
896,"*Cork, IRE","Two Old Time Sessions - Cork<br>There are two old time sessions taking place at The Corner House which describes itself as Cork’s House of Music. I have been told that it is being run by great lads that wouldn't mind people calling in. But I strongly advise that you check the website and phone the pub to check that the sessions are taking place.<br><br>Venue: The Corner House 7 Coburg Street, Cork T23 FW10 Ireland<br>When: Sunday nights starting 20.00<br>Also: Monday nights starting 20.00<br>Contact: Check the the pub website and phone to confirm. The Corner House <br>http://thecornerhouse.ie/<br>or phone +353 21 4500655<br><br>CR 5/10/2022",Monday,weekly gathering
897,"Ballintemple, Cork, Ireland","Weekly Monday old time jam starting at 9pm in Fionbarra's in Cork. Great music from Ian and Síona Knepper, Camilla, Dan, Dave, Brian and Jason - there was dancing! Fuelled by a great selection of IPAs.<br><br>CR 12/18/2019",Monday,weekly gathering
898,"Liscannor, Co Claire, Ireland","Cliffs of Moher Hotel, Liscannor, Co Clare. Sunday Afternoons",Sunday,weekly gathering
899,"Stoneybatter, Dublin, Ireland","Walsh's in Stoneybatter have sessions every Sunday and Monday, trad-ish on Sunday, more American Old Time end of things on Monday, depending who's in, but both always good.   9pm start time.                                                                              JS  6/26/19",Sunday and Monday,weekly gathering
900,"Smithfield, Dublin, Ireland","Old Time Open Jam  on a saturday night in McGettigans, some of the same folk from the cobblestone afternoon session. Start time: 9pm.      JS 6/26/19",saturday,weekly gathering
902,"*Dublin 2, Ireland","O’Neill’s, Pearse St, Dublin 2 are excited to announce a new weekly trad session.<br> Thursdays  @ 8.30 pm. Please come and enjoy the tunes or join in and play. <br><br>https://www.facebook.com/ONeillsofPearseSt<br><br>CR 3/8/2022",Thursdays  @ 8.30 pm,weekly gathering
903,"*The Cobblestone, Dublin City, Ireland","Old Time Session - Dublin<br>A strictly Appalachian old time session and hosted by Bill Whelan with the OXO Boys as resident stringband and still going after 24 years! The session is fairly advanced and dynamic (in an old timey way) and takes place at The Cobblestone in Dublin, which describes itself as a drinking pub with a music problem.<br><br>Venue: The Cobblestone 77 King St North, Smithfield, Dublin, D07 TP22, Ireland<br>When: Every Saturday 16:30 to 19.00<br>Contact: Bill Whelan banjabill@hotmail.com or phone 086 2435231<br><br>Updated CR 5/10/2022",Saturday 16:30 to 19.00,weekly gathering
904,"Thomas House, Dublin City, Ireland",when: every Monday night (9-11pm)<br>contact: : ciaranharte@gmail.com or copirl@yahoo.com. Please email or call ahead to verify. ,Monday,weekly gathering
908,"Westport, Ireland","Matt Molloy's Yard Bar<br>Bridge St<br>Westport, MY Mayo<br>Ireland. Monthly on 2nd Saturday (view full repeat details)<br>Start: 4:00 pm<br>End: 6:00 pm<br>Upcoming: Saturday, January 13, 2018; Saturday, February 10, 2018; Saturday, March 10, 2018. Tim Rogers or Tony Reidy<br>Contact Phone Number: 087 989 7038. http://www.folkjam.org/recurring-jam/ie/my/westport/clew-bay-folk-club",2nd Saturday,weekly gathering
913,"Aberystwyth, UK",Scholars Pub at 7:30pm on Wednesday.,Wednesday,weekly gathering
914,"*Aberedw, Builth Wells, UK","Steady Sessions<br>3rd Monday of the month, 8pm<br>. . . for people who play fiddle, flute, whistle, squeezebox, mandolin, guitar – in fact almost any acoustic instrument which suits a traditional tune and blends with other instruments – and would prefer the opportunity to play folk tunes at a steadier pace than in the typical folk music session, or want to learn some new tunes at a more relaxed pace. This session is also good for people who are an experienced ‘sessioner’ on one instrument but starting to play a new type of instrument.<br><br>Open to all – listeners as well as players!<br><br>For further information: Louise Williams 01982 551116<br><br>VENUE: Seven Stars Inn, Aberedw, Near Builth Wells, LD2 3UW<br><br>https://www.tradartsupport.org.uk/tunes.html<br><br>CR 9/25/2022",3rd Monday,weekly gathering
916,"*Aylesbury, UK","Old Time Session<br>Meeting at The Seven Stars, Dinton near Aylesbury, normally on the third Friday afternoon of the month. Our session is purely old-time. The pub is a traditional old English pub with a garden that enables us to play outside when the weather suits.<br><br>The inside sessions are held in the snug which has  limit on the numbers it can hold so particularly while we are still emerging from Covid, please contact Alan before you come to ensure there is enough space. Anyone who can't do a weekday afternoon but is looking for a session in the area, please contact Alan and have a chat.<br>Venue: The Seven Stars, Stars Lane, Dinton, Aylesbury HP17 8UL<br><br>When: Third Friday afternoon 2pm till 4:30pm<br><br>Contact: Alan Pridgeon 2pridgeons@gmail.com or phone 01844 238203<br><br>CR 3/11/2022<br><br><br>contact: 01844 238203. Please call ahead to verify. ",third Friday,weekly gathering
917,"Bakewell, UK","Rotating Old Time Open Jam.                                    Bakewell varies between Miners Standard (Winster), Cock & Pullet (Sheldon) and Red Lion (Birchover) every Thursday. They all start around 20:30. (8:30pm)",Thursday,weekly gathering
918,"Cock & Pullet, Sheldon, Bakewell, UK","Rotating Old Time Open Jam. Bakewell varies between Miners Standard (Winster), Cock & Pullet (Sheldon) and Red Lion (Birchover) every Thursday. They all start around 20:30. (8:30pm)",Thursday,weekly gathering
919,"*Belper, UK","Old Time Session<br>This is a new Old-Time session in Belper, Derbyshire. Particularly suited to relative beginner/intermediate players. More expert musicians welcome, as long as you are happy to help those less experienced and/or play at moderate speeds.<br><br>Venue: Queen's Head pub, 29 Chesterfield Road, Belper DE56 1FF<br><br>When: Every second Wednesday at 7:30pm<br><br>Contact: Chris Craddy craddychris@gmail.com or phone 07946 754837<br><br>CR 3/10/2022",Wednesday,weekly gathering
920,"Beverley, East Yorkshire, UK",on the first Thursday of each month in Chequers Bar 7.30 till they kick us out,Thursday,weekly gathering
921,"Red Lion Inn, Birchover, UK","Rotating Old Time Open Jam. Bakewell varies between Miners Standard (Winster), Cock & Pullet (Sheldon) and Red Lion (Birchover) every Thursday. They all start around 20:30. (8:30pm)",Thursday,weekly gathering
922,"Bristol, UK","Please call ahead to verify.                                         Bristol<br>where: Kingsdown Wine Vaults, Bristol BS6 5UE<br>when: 1st Wednesday of the month<br>contact: 07809 718620",Wednesday,weekly gathering
923,"*Blandford, UK","Old Time Session - Blandford<br>We hold our old time session at the Royal British Legion Club in Blandford. Press Bell to enter building. Beginners and are visitors welcome.<br><br>Venue: Royal British Legion Club Church Lane, Blandford Forum, Dorset. DT11 7AD<br>When: 2nd Monday of the month 20.00 - 23.00<br>Contact: Tim Hextall timhex@gmail.com or phone 07976 282485<br><br><br>Updated CR 5/10/2022",Monday,weekly gathering
924,"Buckinghamshire, UK","where: The Lions of Bledlow, Church End, Bledlow ,Princes Risborough HP27 9PE<br>when:First Monday of the month<br>contact: 01844 238203. Please call ahead to verify!",Monday,weekly gathering
925,"Cambridge, UK","Cambridge, UK<br>Cambridge Bluegrass and Old Time Session. The Six Bells<br>11 Covent Garden<br>Cambridge, CAM CB1 2HS<br>United Kingdom. Monthly on 2nd Wednesday (view full repeat details)<br>Start: 8:30 pm<br>End: 11:30 pm<br>Second Wednesday of the month<br>Homepage: http://www.facebook.com/Cambridge-Bluegrass-and-Old-Time-Session-346907192130871/<br>Contact Name: Jim Dougans",Second Wednesday,weekly gathering
926,"Derby, UK","where: Horse and Groom, 48 Elms Street, Derby DE1 3HN<br>when: 3rd Sunday of the month<br>contact: 07804 596681. Please call ahead to verify. ",Sunday,weekly gathering
927,"Derbyshire, UK","where: The Queens Arms, Bakewell, DE45 1DS<br>when: Thursdays<br>contact: 01629 812092 stevewise@fastmail.co.uk. Please call ahead or email to verify. ",Thursdays,weekly gathering
928,"Devon, UK","where: Devon Arms, Teignmouth<br>when:<br>contact: 01803 329734","Devon Arms, Teignmouth",annual event
929,"Devon, UK","where: The Hunstman, Ide, near Exeter<br>when: First Sunday of the month<br>contact: bob@bobmat.plus.com. Please call ahead or email to verify. ",Sunday,weekly gathering
931,"Head of Steam Hull, East Yorkshire, UK",Head of Steam every other Tuesday say 30th January then every other week thereafter. 7:30-ish,30th January,weekly gathering
932,"Edinburgh, UK","Laird & Dog Session. Laird And Dog<br>High Street Lasswade<br>Edinburgh, MLN EH18 1NA<br>United Kingdom. Monthly on 1st Friday (view full repeat details)<br>Start: 9:00 pm<br>End: 11:59 pm. Held on the first Friday of the month,in the Laird and Dog pub in Lasswade outside Edinburgh. All instruments, styles and levels welcome.",Friday,weekly gathering
